4054621	Chambers County	Chambers County	Chambersi maakond,Chejmbers,Chejmburs,Chembers,Comitatul Chambers,Comte de Chambers,Comté de Chambers,Condado de Chambers,Condado han Chambers,Contea di Chambers,County Chambers,Hrabstwo Chambers,Okrug Chejmbers,Quan Chambers,Quận Chambers,cembarsa ka'unti,chenbasu jun,qian bo si xian,Округ Чејмберс,Чеймберс,Чеймбърс,Чемберс,Чејмберс,Չամբերս շրջան,চেম্বার্স কাউন্টি,チェンバース郡,钱伯斯县	32.91437	-85.39204	A	ADM2	US		AL	017			34215	248	243	America/Chicago	2013-03-07
4054880	Cherokee County	Cherokee County	Cheroki,Chiroki,Comitatul Cherokee,Comte de Cherokee,Comté de Cherokee,Condado de Cherokee,Condado han Cherokee,Contea di Cherokee,County Cherokee,Hrabstwo Cherokee,Okrug Cheroki,Quan Cherokee,Quận Cherokee,ceroki ka'unti,cheroki jun,qie luo ji xian,Округ Чероки,Чероки,Черокі,Чироки,Չերոկի շրջան,চেরোকি কাউন্টি,チェロキー郡,切羅基縣	34.17596	-85.60379	A	ADM2	US		AL	019			25989	172	166	America/Chicago	2013-03-07
4055067	Chilton County	Chilton County	Chilton,Chiltun,Comitatul Chilton,Comte de Chilton,Comté de Chilton,Condado de Chilton,Condado han Chilton,Contea di Chilton,County Chilton,Hrabstwo Chilton,Okrug Chilton,Quan Chilton,Quận Chilton,chiruton jun,cilatana ka'unti,qi er dun xian,Округ Чилтон,Чилтон,Чилтън,Չիլտոն շրջան,চিলটন কাউন্টি,チルトン郡,奇尔顿县	32.84785	-86.71881	A	ADM2	US		AL	021			43643	189	177	America/Chicago	2013-03-07
4055170	Choctaw County	Choctaw County	Choktav,Chokto,Comte de Choctaw,Comté de Choctaw,Condado de Choctaw,Condado han Choctaw,Contea di Choctaw,County Choctaw,Hrabstwo Choctaw,Okrug Chokto,Quan Choctaw,Quận Choctaw,chokuto jun,cokata'u ka'unti,qiao ke tuo xian,Округ Чокто,Чоктав,Чокто,Չոկտաու շրջան,চোকটাউ কাউন্টি,チョクトー郡,喬克托縣	32.01961	-88.2632	A	ADM2	US		AL	023			13859	123	124	America/Chicago	2013-03-07
4055624	Clarke County	Clarke County	Comte de Clarke,Comté de Clarke,Condado de Clarke,Condado han Clarke,Contea di Clarke,County Clarke,Hrabstwo Clarke,Klark,Okrug Klark,Quan Clarke,Quận Clarke,ke la ke xian,klarke ka'unti,kuraku jun,Кларк,Округ Кларк,Քլարկ շրջան,ক্লার্কে কাউন্টি,クラーク郡,克拉克县	31.67666	-87.83081	A	ADM2	US		AL	025			25833	86	93	America/Chicago	2013-03-07
4055660	Clay County	Clay County	Comte de Clay,Comté de Clay,Condado de Clay,Condado han Clay,Contea di Clay,County Clay,Hrabstwo Clay,Klej,Okrug Klej,Quan Clay,Quận Clay,ke lai xian,kle ka'unti,kurei jun,Клей,Округ Клеј,Քլեյ շրջան,ক্লে কাউন্টি,クレイ郡,克莱县	33.26909	-85.86055	A	ADM2	US		AL	027			13932	324	326	America/Chicago	2013-03-07
4055785	Cleburne County	Cleburne County	Cleburnei maakond,Comte de Cleburne,Comté de Cleburne,Condado de Cleburne,Condado han Cleburne,Contea di Cleburne,County Cleburne,Hrabstwo Cleburne,Klebern,Kleburn,Klibern,Okrug Klibern,Quan Cleburne,Quận Cleburne,ke li ben xian,kleburarna ka'unti,kuriban jun,Клеберн,Клебърн,Клиберн,Округ Клиберн,Քլեյբերն շրջան,ক্লেবুরর্ন কাউন্টি,クリバーン郡,克利本县	33.67456	-85.51877	A	ADM2	US		AL	029			14972	293	303	America/Chicago	2013-03-07
4056099	Coffee County	Coffee County	Comte de Coffee,Comté de Coffee,Condado de Coffee,Condado han Coffee,Contea di Coffee,County Coffee,Hrabstwo Coffee,Kofe,Koffi,Kofi,Okrug Kofi,Quan Coffee,Quận Coffee,kaphi ka'unti,ke fei xian,kofi jun,Кофе,Кофи,Коффі,Округ Кофи,Քոֆի շրջան,কফি কাউন্টি,コフィー郡,科菲县	31.40263	-85.98821	A	ADM2	US		AL	031			49948	124	126	America/Chicago	2013-03-07
4056165	Colbert County	Colbert County	Comte de Colbert,Comté de Colbert,Condado de Colbert,Condado han Colbert,Contea di Colbert,County Colbert,Hrabstwo Colbert,Kolbert,Kolburt,Okrug Kolbert,Quan Colbert,Quận Colbert,ke er bo te xian,kolabarta ka'unti,korubato jun,Колберт,Колбърт,Округ Колберт,Քոլբերտ շրջան,কোলবার্ট কাউন্টি,コルバート郡,科尔伯特县	34.70043	-87.80498	A	ADM2	US		AL	033			54428	172	164	America/Chicago	2013-03-07
4056592	Conecuh County	Conecuh County	Comte de Conecuh,Comté de Conecuh,Condado de Conecuh,Condado han Conecuh,Contea di Conecuh,County Conecuh,Hrabstwo Conecuh,Koneka,Kuneka,Okrug Koneka,Quan Conecuh,Quận Conecuh,kanekka jun,ke ni ka xian,konakuha ka'unti,Конека,Кънека,Округ Конека,Քոնեկա շրջան,কোনকুহ কাউন্টি,カネッカー郡,科尼卡县	31.42927	-86.99368	A	ADM2	US		AL	035			13228	76	79	America/Chicago	2013-03-07
4056809	Coosa County	Coosa County	Comte de Coosa,Comté de Coosa,Condado de Coosa,Condado han Coosa,Contea di Coosa,County Coosa,Hrabstwo Coosa,Kusa,Okrug Kusa,Quan Coosa,Quận Coosa,kosa ka'unti,ku sa xian,kusa jun,Куса,Округ Куса,Քուզա շրջան,কোসা কাউন্টি,クーサ郡,库萨县	32.93623	-86.24766	A	ADM2	US		AL	037			11539	130	147	America/Chicago	2013-03-07
